order_id,customer_id,region,product_id,quantity,sales_amount,order_date,discount
1042,304,West,136,4,152.00,2024-01-01,0.05
2560,360,North,128,4,76.00,2024-01-01,0.05
2834,363,South,126,5,36.00,2024-01-01,0.10
2889,235,West,135,2,374.00,2024-01-01,0.15
3106,264,North,106,1,300.00,2024-01-01,0.00
3248,350,North,106,3,810.00,2024-01-01,0.10
3736,224,South,108,1,47.50,2024-01-01,0.05
3985,393,West,108,4,200.00,2024-01-01,0.00
1419,290,North,114,3,135.00,2024-01-02,0.10
1756,260,West,129,1,80.75,2024-01-02,0.05
3116,249,South,112,3,204.00,2024-01-02,0.15
3926,361,East,128,8,128.00,2024-01-02,0.20
1244,233,North,130,1,45.00,2024-01-03,0.00
1743,231,West,137,3,45.00,2024-01-03,0.00
2266,322,East,122,3,228.00,2024-01-03,0.20
3315,256,North,114,2,100.00,2024-01-03,0.00
1607,250,South,119,2,66.50,2024-01-04,0.05
2124,366,East,138,1,18.00,2024-01-04,0.00
2084,232,East,119,3,105.00,2024-01-05,0.00
2233,334,South,115,6,54.00,2024-01-05,0.10
3308,375,West,122,2,190.00,2024-01-05,0.00
3793,242,West,112,1,72.00,2024-01-05,0.10
1378,340,South,131,1,180.00,2024-01-06,0.00
1592,202,North,125,2,504.00,2024-01-06,0.10
2160,253,West,118,1,45.00,2024-01-06,0.00
2198,384,South,128,1,20.00,2024-01-06,0.00
2331,358,West,111,2,171.00,2024-01-06,0.05
2341,240,West,118,3,135.00,2024-01-06,0.00
3261,393,East,125,2,448.00,2024-01-06,0.20
3439,243,North,121,3,313.50,2024-01-06,0.05
1196,368,South,128,1,20.00,2024-01-07,0.00
3497,375,South,114,2,95.00,2024-01-07,0.05
1277,297,North,123,1,52.25,2024-01-08,0.05
1379,289,East,127,3,32.40,2024-01-08,0.10
1662,350,West,108,1,45.00,2024-01-08,0.10
2323,304,North,121,2,220.00,2024-01-08,0.00
2529,220,West,109,2,57.00,2024-01-08,0.05
1758,290,East,124,1,500.00,2024-01-09,0.00
2208,303,South,135,1,187.00,2024-01-09,0.15
2329,342,West,138,8,129.60,2024-01-09,0.10
2722,296,West,110,1,190.00,2024-01-09,0.05
3080,297,West,118,1,45.00,2024-01-09,0.00
1418,364,South,130,1,40.50,2024-01-10,0.10
1439,271,West,122,3,270.75,2024-01-10,0.05
2249,349,West,138,5,81.00,2024-01-10,0.10
2766,368,West,136,2,76.00,2024-01-10,0.05
2945,313,North,127,2,24.00,2024-01-10,0.00
3769,256,West,139,2,1235.00,2024-01-10,0.05
1045,262,South,129,2,170.00,2024-01-11,0.00
1705,238,West,136,3,120.00,2024-01-11,0.00
1944,322,South,138,5,81.00,2024-01-11,0.10
2005,295,East,109,2,54.00,2024-01-12,0.10
3698,238,West,108,1,42.50,2024-01-12,0.15
1055,313,West,107,1,212.50,2024-01-13,0.15
3216,207,North,115,3,28.50,2024-01-13,0.05
3496,299,East,138,2,34.20,2024-01-13,0.05
3503,310,South,119,4,112.00,2024-01-13,0.20
1272,202,South,123,3,156.75,2024-01-14,0.05
1359,321,West,138,1,18.00,2024-01-14,0.00
1547,316,South,127,5,54.00,2024-01-14,0.10
3575,274,North,104,1,127.50,2024-01-14,0.15
1980,211,East,139,2,1300.00,2024-01-16,0.00
2679,357,East,115,5,45.00,2024-01-16,0.10
3006,361,East,104,3,427.50,2024-01-16,0.05
3073,264,East,121,2,220.00,2024-01-16,0.00
3758,300,West,107,1,250.00,2024-01-16,0.00
1444,322,West,137,4,60.00,2024-01-17,0.00
3010,266,South,136,4,160.00,2024-01-17,0.00
1480,387,North,140,3,285.00,2024-01-18,0.00
2586,260,East,104,3,450.00,2024-01-18,0.00
2748,242,North,120,2,342.00,2024-01-18,0.05
2865,390,South,134,3,225.00,2024-01-18,0.00
3132,364,West,107,1,250.00,2024-01-19,0.00
3149,390,East,140,3,256.50,2024-01-19,0.10
2107,206,North,116,2,240.00,2024-01-20,0.00
2684,325,South,104,2,270.00,2024-01-20,0.10
1036,311,East,130,1,40.50,2024-01-21,0.10
1725,260,North,126,1,7.20,2024-01-21,0.10
2872,313,West,108,4,170.00,2024-01-21,0.15
3162,211,West,136,3,96.00,2024-01-22,0.20
3978,286,East,128,5,90.00,2024-01-22,0.10
2113,319,North,123,3,140.25,2024-01-23,0.15
1285,353,West,118,1,36.00,2024-01-24,0.20
1401,247,East,103,2,1200.00,2024-01-24,0.00
2409,323,West,135,1,220.00,2024-01-24,0.00
2574,359,North,134,3,225.00,2024-01-24,0.00
3113,256,East,105,2,595.00,2024-01-24,0.15
1451,302,North,127,3,34.20,2024-01-25,0.05
2611,311,East,123,3,132.00,2024-01-25,0.20
3428,318,West,131,1,162.00,2024-01-25,0.10
3672,393,South,140,8,684.00,2024-01-25,0.10
3770,201,North,114,2,100.00,2024-01-25,0.00
3897,398,South,117,2,45.00,2024-01-25,0.10
1747,368,North,116,2,228.00,2024-01-26,0.05
2789,244,South,128,6,96.00,2024-01-26,0.20
